SYMBOL	SYMBOL	Norm_F_GSM96454	Norm_F_GSM96455	Norm_F_GSM96456	Norm_F_GSM96457	Norm_F_GSM96458	Norm_F_GSM96459	Norm_F_GSM96461	Norm_M_GSM96470	Norm_M_GSM96471	Norm_M_GSM96472	Norm_M_GSM96473	Norm_M_GSM96474	Norm_M_GSM96475	Norm_M_GSM96476	Tumour_F_GSM96462	Tumour_F_GSM96463	Tumour_F_GSM96464	Tumour_F_GSM96466	Tumour_F_GSM96467	Tumour_F_GSM96468	Tumour_F_GSM96469	Tumour_M_GSM96477	Tumour_M_GSM96478	Tumour_M_GSM96479	Tumour_M_GSM96480	Tumour_M_GSM96481	Tumour_M_GSM96482	Tumour_M_GSM96483	p-value
24432	24432	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.043743745	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.054774878	1.00E-06	1.00E-06	0.095275025	1.00E-06	1.00E-06	0.102591637
384D8-2	384D8-2	0.659343934	0.250980214	0.798435583	1.309660071	0.847151933	0.581386796	1.351494456	1.102609653	0.443288523	0.283701672	0.347685814	0.403590609	0.659769697	0.828168587	0.917753216	0.894825831	0.867047308	1.023814405	0.828893321	0.979556838	0.747670056	0.929892347	0.55531097	0.628996214	0.646412482	0.354926238	0.499171443	0.593359464	0.701269271
76P	76P	0.379141685	0.894583101	0.395161421	0.350189295	0.760230857	0.612057887	0.305372549	0.379922253	0.815481365	0.184359616	2.964205943	0.330708058	0.488567954	0.512348821	0.718307595	1.48678482	0.544993753	0.448254181	0.606762279	0.463921797	0.517151028	0.383745996	0.609813121	0.457975561	0.434982833	0.529518228	0.50297902	0.48957528	0.677786088
7h3	7h3	0.160589168	0.158533296	0.006322009	0.094388001	0.477021283	0.067888639	0.288540667	0.088122445	1.00E-06	0.606354173	1.00E-06	0.953240062	0.426285325	0.588848902	0.224226373	0.912485891	0.160764137	0.375797063	0.148390638	0.126409751	0.129881918	1.00E-06	0.12336853	0.21362051	1.00E-06	0.456326807	1.00E-06	0.175311155	0.54168228
8D6A	8D6A	1.833786496	1.495630012	2.56128525	2.921440379	1.835525981	1.957044468	2.327018229	1.646684893	1.605277304	1.48081091	1.851296899	1.467377027	1.061064778	0.807358216	2.13743797	1.254618739	1.646341957	1.954065511	2.443386129	2.508482747	1.781441	1.900053614	1.596623578	1.270790999	1.249770401	1.879395816	1.474089658	1.117196211	0.81220296
A4GALT	A4GALT	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.357074982	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.335561278
AAAS	AAAS	2.624729818	3.817362236	4.231925937	3.77032021	3.23049434	3.216639749	3.920542197	6.160740238	4.59677963	4.569184515	6.212397624	5.942555863	3.803590314	4.460414821	5.446982262	3.210638974	4.129087168	5.06951681	3.594864901	5.211515615	3.462871435	5.432034905	6.080665417	5.707120741	4.776498674	6.823078942	3.539483772	4.35523463	0.29171955
AAK1	AAK1	1.10093203	3.931875563	2.209733543	2.001543088	1.50226098	1.609423942	1.011003844	3.563585203	4.288589183	2.257259358	3.138344683	3.526325209	3.276616296	1.642816177	1.445945481	1.495498091	2.330423332	1.606555992	1.74696955	1.806906492	1.878873363	2.95357964	3.613915007	2.577589525	3.274309497	2.983330314	2.857907483	3.346299256	0.820344793
AASDHPPT	AASDHPPT	0.064643088	1.00E-06	1.00E-06	1.00E-06	0.07279019	0.018136118	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.503302152	0.039383787	0.076761871	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.039152363	0.333336751
AATF	AATF	3.349270697	3.041637777	5.555567571	5.313789532	4.930861775	5.089787883	6.445612445	7.769359395	4.607774116	5.425472308	7.551877848	8.007850381	4.351300788	4.120237656	7.965054087	4.312915495	6.296549346	6.965136698	5.57890754	6.277028255	4.988277256	6.595358256	5.097952051	6.42286443	5.480232638	5.672447678	3.984702459	5.07655696	0.473757236
AB026190	AB026190	2.351890804	4.387571737	1.451757327	1.099299788	1.383817584	1.197922251	1.595580396	5.25164637	5.14868748	9.13581987	3.883230506	7.751837512	6.635541767	3.635260704	1.195341674	1.02723184	1.188318495	1.293391764	1.185759043	1.092722946	0.927586244	4.101424455	5.647279871	6.296549346	6.676640604	4.049633418	3.957602611	4.776498674	0.37562918
ABAT	ABAT	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.076583745	1.053066921	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.301533673
ABCB6	ABCB6	0.2509358	0.688105993	4.259841651	2.035854901	4.794199896	1.878873363	2.328809242	3.027620833	3.16038654	0.260705873	1.355718879	0.633495322	1.436114426	0.927072918	2.068055324	0.963744076	2.205479049	1.390208659	5.663405527	1.078192484	3.788909211	1.332389563	1.11558979	0.924955239	0.419978194	1.369734373	0.686462804	0.722396505	0.665751786
ABCB7	ABCB7	0.906331123	0.265384913	0.479804143	0.312575129	0.373811972	0.388959015	0.132435463	0.465493026	0.158720851	0.751973696	0.657812464	0.433292307	0.415269765	0.77870487	0.811979911	0.644074467	0.592061223	0.438251333	0.583964743	0.422604516	0.424237414	0.291228445	0.649106985	0.84210861	0.492214184	0.759832007	1.999240703	0.504654603	0.112861324
ABCB9	ABCB9	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.018314898	1.00E-06	0.281337714	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.187125147	1.088759837	1.00E-06	1.00E-06	0.127271953	0.063222264	0.085337198	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.278314402
ABCD1	ABCD1	0.608915174	1.812132743	0.493288402	1.194644148	1.400493574	1.781658935	1.065181416	0.847398994	1.221081787	0.848242801	2.517441652	0.878184486	1.643804368	0.931546902	0.713208474	1.479130786	1.208283458	1.352105532	1.920139906	1.164321182	1.533739703	1.196640993	1.040544292	1.29061313	0.994282304	1.164992495	0.627235737	1.459431172	0.967511544
ABCD3	ABCD3	1.685404551	0.533078131	0.026690283	0.027580216	0.859513729	0.262974457	0.204386921	0.430872342	1.359861755	1.408019	0.785961142	0.191110401	0.293065237	0.847812018	0.189864637	0.445458495	0.219277868	0.248427073	0.3601303	0.02951462	0.270486922	0.30489109	0.145396525	0.367470184	0.245899269	1.00E-06	0.456912264	1.040544292	0.053229237
ABCD4	ABCD4	0.989357277	2.800966648	1.25985737	0.897431558	0.876613723	1.096676632	1.137215758	1.779332834	2.47120397	2.515464181	1.45260485	2.099607881	1.379977607	1.762984029	1.191363258	1.084934555	0.998429382	1.221686516	0.811979911	0.947145053	1.121583296	2.284006635	1.982444018	1.800712191	1.683331876	1.698507784	2.006723474	1.883855869	0.552657476
ABCE1	ABCE1	0.710550697	0.412276934	0.755862412	0.68974081	0.312575129	0.442113331	0.444460226	0.537196752	0.335321731	1.00E-06	0.186898847	1.00E-06	1.00E-06	0.577541562	0.350459309	0.529086564	0.63447662	0.472350197	0.538729454	0.503364105	0.655905057	0.468912974	0.467411403	0.105399203	0.097688901	1.053627151	17.7449124	0.126409751	0.309137919
ABCF2	ABCF2	0.103985004	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.406941171	1.00E-06	1.00E-06	1.00E-06	2.725752805	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.254944708
ABHD3	ABHD3	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1
ABI-2	ABI-2	1.00E-06	1.00E-06	0.513770932	0.203289953	0.134066249	0.343587854	0.690416761	0.22268534	0.278724893	1.00E-06	1.272367093	0.432405698	1.00E-06	1.00E-06	1.001614709	0.499182169	0.227096959	0.381454636	0.894614125	0.671122889	0.47818021	1.00E-06	1.00E-06	0.298623625	1.00E-06	1.00E-06	1.00E-06	1.00E-06	0.848845677
ABLIM1	ABLIM1	1.601065507	0.556311933	0.473950655	0.787349746	0.39131266	0.537772071	0.650155988	1.375054467	0.339875512	0.316534477	0.877378335	1.07532204	0.608743078	0.988476859	0.220474921	0.170757289	0.235959832	0.210495662	0.40890834	0.505465964	0.719221031	0.784309081	0.588848902	0.847073552	0.371428495	0.456616019	0.519995889	0.697358887	0.032941712
